fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg
Kazula Vargas,172.72,155.0,180.34,Southpaw,1985-08-15,12,71,5,29,0,0,0.0,0,3.65,53,1.77,57,0.4,25,30,0.4
Jamie Varner,172.72,155.0,180.34,Orthodox,1984-10-12,21,60,11,31,1,3,2.0,6,2.92,34,2.55,58,3.49,53,66,0.8
Guilherme Vasconcelos,182.88,185.0,,Orthodox,1986-03-23,9,69,4,31,0,0,0.0,0,3.27,29,4.4,70,0.0,0,0,0.0
Linton Vassell,193.04,205.0,,,1983-06-03,18,75,5,21,0,0,1.0,4,3.39,37,2.13,54,2.46,50,50,0.0
Billy Vaughan,167.64,155.0,,,1983-12-02,12,41,17,59,0,0,0.0,0,0.0,0,1.36,50,0.0,0,0,0.0
Yuri Vaulin,193.04,197.0,,Southpaw,,0,0,1,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Javier Vazquez,170.18,145.0,175.26,Southpaw,1977-07-16,16,76,5,24,0,0,0.0,0,2.43,36,1.99,72,2.56,52,57,1.5
Manny Vazquez,177.8,125.0,182.88,Orthodox,1993-11-19,11,85,2,15,0,0,0.0,0,1.47,41,2.67,48,1.0,33,0,1.0
Matt Veach,180.34,155.0,,Orthodox,1981-05-31,17,77,5,23,0,0,0.0,0,1.12,28,4.91,44,3.64,38,100,1.5
Joe Vedepo,182.88,185.0,,Orthodox,,18,67,9,33,0,0,0.0,0,1.43,42,5.71,38,1.07,20,0,0.0
Kelly Velasco,175.26,135.0,,Orthodox,1995-05-21,2,67,1,33,0,0,0.0,0,2.27,35,5.67,47,0.0,0,100,0.0
Greg Velasco,187.96,265.0,177.8,Southpaw,1993-09-23,6,86,1,14,0,0,0.0,0,0.0,0,1.52,0,0.0,0,0,0.0
Cain Velasquez,185.42,240.0,195.58,Orthodox,1982-07-28,14,82,3,18,0,0,0.0,0,6.37,57,2.33,57,5.13,45,85,0.4
David Velasquez,165.1,145.0,,Orthodox,,10,50,10,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Bojan Velickovic,182.88,170.0,193.04,Southpaw,1988-12-18,15,68,6,27,1,5,0.0,0,2.18,34,2.31,57,0.67,25,55,0.5
Karlos Vemola,182.88,185.0,190.5,Orthodox,1985-07-03,17,77,5,23,0,0,0.0,0,1.67,44,2.13,37,1.93,25,31,1.7
Luigi Vendramini,172.72,155.0,185.42,Orthodox,1996-01-16,9,75,3,25,0,0,0.0,0,2.82,40,3.82,57,1.11,15,100,0.6
Jerrel Venetiaan,185.42,195.0,,Orthodox,1971-03-09,4,50,3,38,0,0,1.0,12,0.81,33,1.51,67,0.0,0,60,0.0
Scott Ventimiglia,180.34,185.0,,,1972-11-17,14,67,6,29,1,5,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Brandon Vera,190.5,230.0,198.12,Orthodox,1977-10-10,15,65,7,30,0,0,1.0,4,3.03,56,2.81,52,0.7,53,59,0.2
Kerry Vera,170.18,135.0,,Orthodox,,2,100,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Marlon Vera,172.72,135.0,177.8,Switch,1992-12-02,23,68,10,29,1,3,0.0,0,4.27,49,5.37,50,0.51,39,72,0.8
Carlos Vera,167.64,135.0,175.26,Orthodox,1987-11-05,11,73,4,27,0,0,0.0,0,0.8,48,2.53,45,0.0,0,0,0.0
Isis Verbeek,162.56,115.0,162.56,Orthodox,1995-01-12,5,71,2,29,0,0,0.0,0,3.13,43,3.53,53,0.0,0,66,0.0
Ernie Verdicia,180.34,199.0,,Orthodox,,0,0,1,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Joe Veres,170.18,155.0,,Orthodox,1977-11-09,4,57,3,43,0,0,0.0,0,0.0,0,5.55,27,0.0,0,0,0.0
Nikolay Veretennikov,185.42,170.0,190.5,Orthodox,1989-12-22,12,71,5,29,0,0,0.0,0,3.4,59,3.33,54,0.0,0,60,0.0
CJ Vergara,167.64,125.0,172.72,Orthodox,1991-06-18,12,63,6,32,1,5,0.0,0,5.1,56,4.74,53,0.0,0,60,0.2
Renato Verissimo,185.42,170.0,,Orthodox,1973-08-03,7,54,5,38,0,0,1.0,8,0.92,48,1.87,47,1.46,30,50,2.5
Bryan Vetell,190.5,265.0,,Southpaw,1977-07-26,4,57,3,43,0,0,0.0,0,2.74,60,2.13,41,0.0,0,0,0.0
Marvin Vettori,182.88,185.0,187.96,Southpaw,1993-09-20,19,70,7,26,1,4,0.0,0,4.56,45,4.24,56,1.66,45,69,0.5
Hugo Viana,167.64,135.0,170.18,Orthodox,1982-09-26,8,67,4,33,0,0,0.0,0,3.05,38,3.2,57,0.22,6,50,0.0
Guilherme Viana,193.04,205.0,,,,7,70,3,30,0,0,0.0,0,2.92,40,2.72,59,1.2,66,77,0.0
Polyana Viana,165.1,115.0,170.18,Orthodox,1992-06-14,13,65,7,35,0,0,0.0,0,2.99,40,2.65,53,0.82,33,38,1.9
Vitor Vianna,,205.0,,Orthodox,,12,75,3,19,1,6,0.0,0,3.1,30,8.28,52,0.0,0,0,0.0
James Vick,190.5,155.0,193.04,Orthodox,1987-02-23,13,72,5,28,0,0,0.0,0,4.13,39,3.31,60,0.26,33,57,0.7
Tamires Vidal,167.64,135.0,172.72,Orthodox,1998-07-27,7,64,4,36,0,0,0.0,0,2.91,53,4.46,49,0.0,0,35,0.7
Milton Vieira,182.88,145.0,,Orthodox,1978-10-04,13,57,8,35,2,9,0.0,0,1.13,35,2.36,48,2.67,53,12,0.7
Reginaldo Vieira,170.18,135.0,165.1,Orthodox,1982-11-26,13,72,5,28,0,0,0.0,0,3.76,40,2.89,59,1.97,27,25,0.8
Ketlen Vieira,172.72,135.0,172.72,Orthodox,1991-08-26,14,78,4,22,0,0,0.0,0,2.92,41,3.9,51,1.39,44,88,0.6
Rodolfo Vieira,182.88,185.0,185.42,Orthodox,1989-09-25,10,77,3,23,0,0,0.0,0,3.33,55,4.4,49,3.52,26,100,1.2
Steve Vigneault,177.8,185.0,,Orthodox,1978-02-14,12,67,6,33,0,0,0.0,0,2.19,28,5.75,44,0.0,0,100,0.0
Alejandro Villalobos,170.18,145.0,,,1979-10-26,17,77,5,23,0,0,0.0,0,3.93,46,4.07,67,1.0,50,0,0.0
DeMarco Villalona,175.26,185.0,,,,1,25,3,75,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Gian Villante,190.5,230.0,193.04,Orthodox,1985-08-18,17,55,14,45,0,0,0.0,0,4.38,44,5.47,55,0.45,23,83,0.0
